data,categoria,ricavi,costi
2026-01-05,Caffetteria,2350,1180
2026-01-12,Colazioni,1480,620
2026-01-20,Pranzo,3260,1780
2026-02-04,Caffetteria,2480,1210
2026-02-11,Colazioni,1550,640
2026-02-19,Pranzo,3410,1810
2026-03-03,Caffetteria,2670,1270
2026-03-10,Colazioni,1690,680
2026-03-18,Pranzo,3720,1920
2026-04-02,Caffetteria,2810,1310
2026-04-09,Colazioni,1780,710
2026-04-17,Pranzo,3950,1980
2026-05-04,Caffetteria,2950,1350
2026-05-12,Colazioni,1880,730
2026-05-21,Pranzo,4210,2050
2026-06-03,Caffetteria,3180,1420
2026-06-11,Colazioni,2010,760
2026-06-20,Pranzo,4560,2160
